"","class","tattoos","sleep","smoke","music","shoesize","piercing","residentialpref","number","cannabis","vape","tobacco","heightcm","heightin"
"119","Sophomore",0,6,"No.","Pop",6,2,"Suburban",6,FALSE,FALSE,FALSE,157.48,62
"120","Junior",0,6.5,"No.","Indie",7,4,"Urban",5,FALSE,FALSE,FALSE,157.48,62
"121","Sophomore",0,7.8,"No.","Hip hop",7.5,3,"Suburban",2.123,FALSE,FALSE,FALSE,155.492,61.2173228346457
"122","Sophomore",0,5.8234,"No.","Rock",8.5,2,"Suburban",7,FALSE,FALSE,FALSE,177.8,70
"123","Freshman",0,7.5,"No.","Hip hop",6.5,0,"Rural (Small town)",7,FALSE,FALSE,FALSE,160,62.992125984252
"124","Sophomore",0,4,"No.","Pop",11,0,"Suburban",4.29,FALSE,FALSE,FALSE,180.34,71
"125","Sophomore",0,7.5,"No.","Hip hop",10,2,"Suburban",3.3,FALSE,FALSE,FALSE,165.1,65
"126","Sophomore",0,6.5,"No.","Pop",8,2,"Suburban",2,FALSE,FALSE,FALSE,165,64.9606299212598
"127","Sophomore",0,7.5,"Yes, cannabis.","Electronic",7.5,4,"Urban",1,TRUE,FALSE,FALSE,157.48,62
"128","Sophomore",0,7,"No.","Pop",8,2,"Suburban",7.2,FALSE,FALSE,FALSE,162.56,64
"129","Senior",0,5,"No.","Pop",9.5,3,"Urban/City",3,FALSE,FALSE,FALSE,170.18,67
"130","Sophomore",0,6.5,"No.","Indie",7.5,7,"Suburban",7,FALSE,FALSE,FALSE,170.815,67.25
"131","Senior",0,7,"Yes, cannabis.","Rock",12,2,"Suburban",7,TRUE,FALSE,FALSE,177.8,70
"132","Senior",0,7,"No.","Pop",9,6,"Urban/City",6,FALSE,FALSE,FALSE,165.1,65
"133","Sophomore",0,7,"Yes, cannabis.","Indie",9,3,"Urban",9,TRUE,FALSE,FALSE,175.26,69
"134","Junior",0,7,"Yes\, cannabis.","Hip hop",9,0,"Urban/City",2,TRUE,FALSE,FALSE,147,58
"135","Sophomore",0,7,"Yes\, cannabis.,Yes\, vapes.,Yes\, tobacco/cigarettes.","Hip hop",9,2,"Suburban",7.7987,TRUE,TRUE,TRUE,170.18,67
